Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2019-024,(4) Site Work Permit Issued,65 Ocean Ave,65,Ocean,Ave,94112,6954,018,11,Outer Mission,Outer Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2021-01-21T00:00:00.000,,2021-07-22T00:00:00.000,2023-09-15T00:00:00.000,"RG-Architecture, Inc.",,"Agrippa, LLC",2016-006860PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-006860PRJ'},,2019-10-24T00:00:00.000,On-site BMR Project,193,48,145,25.00,0,12,17,14,5,0,0,0,0,,48,0,0,0,0,0,0,0,0,0,0,19,0,15,0,0,0,14,0,0,0,0,37.723410000000,-122.438080000000,"{'latitude': '37.72341', 'longitude': '-122.43808', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-011,(4) Site Work Permit Issued,555 Howard,555,Howard,St,94105,3736,086,6,Financial District/South Beach,Financial District,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2018-11-28T00:00:00.000,,2019-05-29T00:00:00.000,2021-07-22T00:00:00.000,Pacific Howard Corporation,,,2015-008058PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-008058PRJ'},"2015-008058CUA,2015-008058DNX,2015-008058ENV,2015-008058PPA,2015-008058SHD",2017-03-02T00:00:00.000,On-site BMR Project,69,10,59,14.00,0,0,3,5,2,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,37.787380282000,-122.396901953999,"{'latitude': '37.787380282', 'longitude': '-122.396901953999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-002,(3) Design with Entitlements Approved,820 Post St,820,Post,St,94109,0300,003C,3,Nob Hill,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,,,2021-02-19T00:00:00.000,2023-04-15T00:00:00.000,Elevation Architects,,,2016-015997PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-015997PRJ'},,2019-02-21T00:00:00.000,On-site BMR Project,12,1,11,8.00,0,0,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37.787575685000,-122.415458095999,"{'latitude': '37.787575685', 'longitude': '-122.415458095999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-065,(4) Site Work Permit Issued,"HPSY I, Block 52 & 54",351,Friedell,St,94124,4591C,673,10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,HP Shipyard Phase 1,New Construction,Rental,,2020-07-01T00:00:00.000,2020-04-23T00:00:00.000,,2020-07-01T00:00:00.000,2022-07-01T00:00:00.000,Developer not yet selected,,,Not Applicable,,,,,112,111,1,99.00,0,0,0,0,0,0,0,0,1,,111,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,37.728123041000,-122.369768280999,"{'latitude': '37.728123041', 'longitude': '-122.369768280999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-028,(5) First Construction Document Issued,1145 Polk St,1145,Polk,St,94109,0691,001,3,Nob Hill,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-08-29T00:00:00.000,2019-06-28T00:00:00.000,2019-06-28T00:00:00.000,2021-08-21T00:00:00.000,Dolman Property Development Group,,,2014-001674PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2014-001674PRJ'},"2014-001674ENV,2014-001674PPA,2014-001674TDM,2014-001674VAR,2017-015781ENF",2018-08-10T00:00:00.000,On-site BMR Project,54,8,46,15.00,0,8,0,0,0,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,37.787465809000,-122.420298389999,"{'latitude': '37.787465809', 'longitude': '-122.420298389999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-040,(5) First Construction Document Issued,1863 Mission,1863,Mission,St,94110,3548,"033, 039",9,Mission,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2018-12-20T00:00:00.000,2019-06-05T00:00:00.000,2019-06-05T00:00:00.000,2021-07-29T00:00:00.000,Corvorn LLC,,,2009.1011,{'url': 'http://propertymap.sfplanning.org/?search=2009.1011'},,2018-12-18T00:00:00.000,On-site BMR Project,37,4,33,11.00,0,1,1,2,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,37.767265684000,-122.419461866999,"{'latitude': '37.767265684', 'longitude': '-122.419461866999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-092,(1) Preliminary Phase,"HPSY I, Block 48 (OCII 2)",996,Oakdale,Ave,94124,4591D,"094, 095, 096",10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,HP Shipyard Phase 1,New Construction,Rental,,2023-12-31T00:00:00.000,,,2023-12-31T00:00:00.000,2025-06-23T00:00:00.000,Developer not yet selected,,Developer not yet selected,Not Applicable,,,,,18,18,0,100,0,0,0,0,0,0,0,0,0,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,37.728384002000,-122.378258735999,"{'latitude': '37.728384002', 'longitude': '-122.378258735999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-005,(4) Site Work Permit Issued,2525 Van Ness,2525,Van Ness,Ave,94123,0527,004,2,Marina,Marina,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2020-02-04T00:00:00.000,,2020-08-04T00:00:00.000,2022-09-28T00:00:00.000,Executive Group,,,2016-002728PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-002728PRJ'},"2016-002728CUA,2016-002728ENV,2016-002728PPA,2016-002728TDM,2016-002728VAR",2018-05-03T00:00:00.000,Fee Payment,28,0,28,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.798949691000,-122.424507859999,"{'latitude': '37.798949691', 'longitude': '-122.424507859999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2013-008,(5) First Construction Document Issued,706 Mission,706,Mission,St,94103,3706,093,6,Financial District/South Beach,Financial District,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2015-10-27T00:00:00.000,2017-03-27T00:00:00.000,2017-03-27T00:00:00.000,2020-09-03T00:00:00.000,Millenium Partners,,,2008.1084,{'url': 'http://propertymap.sfplanning.org/?search=2008.1084'},"13-070,2008.1084E,2008.1084E_3,2008.1084E_5,2008.1084E_7,2008.1084E_9,2008.1084H,2008.1084H_3,2008.1084K,2008.1084K_3,2008.1084MCM,2008.1084Q,2008.1084R,2008.1084S,2008.1084T,2008.1084U,2008.1084X,2008.1084X_3,2008.1084X_5,2008.1084Z",2013-05-23T00:00:00.000,Fee Payment,185,0,185,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.785962236000,-122.403214441999,"{'latitude': '37.785962236', 'longitude': '-122.403214441999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-021,(3) Design with Entitlements Approved,1540 Market (aka One Oak),1540,Market,St,94102,0836,005,5,Hayes Valley,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,,,2019-06-14T00:00:00.000,2021-08-07T00:00:00.000,Build Inc,,,2009.0159,{'url': 'http://propertymap.sfplanning.org/?search=2009.0159'},"2009.0159CUA,2009.0159E,2009.0159E_3,2009.0159GPA,2009.0159IKA,2009.0159K,2009.0159MAP,2009.0159VAR,2009.0159X",2017-06-15T00:00:00.000,Fee Payment,319,0,319,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.775112963000,-122.419839893999,"{'latitude': '37.775112963', 'longitude': '-122.419839893999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-052,(6) Complete,Dorothy Day Community,54,McAllister,St,94102,0349,014,6,Tenderloin,Downtown/Civic Center,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,2017-12-01T00:00:00.000,2018-05-21T00:00:00.000,,2017-12-01T00:00:00.000,2020-02-19T00:00:00.000,Mercy Housing California,,"Mercy Housing California 75, LP",Not Applicable,,,,,100,99,1,99.00,0,26,73,0,0,0,0,0,1,1bd,0,99,0,0,0,0,0,0,0,0,10,0,89,0,0,0,0,0,0,0,0,0,37.781289431000,-122.413173133999,"{'latitude': '37.781289431', 'longitude': '-122.413173133999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-027,(5) First Construction Document Issued,1629 Market (see also 53 Colton),1629,Market,St,94103,3505,032,6,Mission,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2020-07-02T00:00:00.000,2021-01-11T00:00:00.000,2021-01-11T00:00:00.000,2023-03-07T00:00:00.000,"Strada Brady, LLC",,,2015-005848PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-005848PRJ'},"2015-005848CUA,2015-005848ENV,2015-005848GPA,2015-005848PCA,2015-005848PPA,2016-005955DVA,2016-005955TDM",2017-10-19T00:00:00.000,On-site BMR Project,484,58,426,12.00,0,0,0,0,0,0,0,0,0,,58,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,37.773529300000,-122.420311384999,"{'latitude': '37.7735293', 'longitude': '-122.420311384999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-057,(1) Preliminary Phase,101 Hyde,101,Hyde,St,94102,0346,003A,6,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,,Developer not yet selected,,Developer not yet selected,Not Yet Available,,,,,85,84,1,99.00,0,0,0,0,0,0,0,0,1,,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,37.781803737000,-122.415896547999,"{'latitude': '37.781803737', 'longitude': '-122.415896547999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-020,(4) Site Work Permit Issued,1726-1730 Mission,1726,Mission,St,94103,3532,004A,9,Mission,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2018-07-31T00:00:00.000,,2019-01-29T00:00:00.000,2021-03-24T00:00:00.000,"Reuben, Junius & Rose, LLP",,,2014-002026PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2014-002026PRJ'},"2014-002026ENV,2014-002026ENX,2014-002026PPA",2017-06-01T00:00:00.000,On-site BMR Project,40,7,33,18.00,0,0,4,3,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,37.769397640000,-122.420403099999,"{'latitude': '37.76939764', 'longitude': '-122.420403099999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-069,(5) First Construction Document Issued,Frederick Douglas Haynes Gardens,1049,Golden Gate,Ave,94115,0771,025,5,Western Addition,Western Addition,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,,,,,,Human Good Affordable Housing,"Third Baptist Gardens, Inc.","FD Haynes Apartments, LP",2019-014065PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2019-014065PRJ'},,,,104,103,1,99.00,0,0,27,40,27,9,0,0,1,3bd,103,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,37.779610000000,-122.427780000000,"{'latitude': '37.77961', 'longitude': '-122.42778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-105,(1) Preliminary Phase,"CP-02 ""Infield"" Senior",0,Address not yet assigned,,94124,0,0,10,Bayview Hunters Point,Bayview,OCII,OCII Inclusionary Rental Program,Candlestick Point,New Construction,Rental,,2022-09-01T00:00:00.000,,,2022-09-01T00:00:00.000,2024-02-23T00:00:00.000,1899-12-31T00:00:00.000,,,Not Applicable,,,,,105,104,1,99.00,0,0,0,0,0,0,0,0,0,1,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,37.713564531000,-122.384286152999,"{'latitude': '37.713564531', 'longitude': '-122.384286152999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-012,(6) Complete,3544 Taraval St,3544,Taraval,St,94116,2374,020,4,Sunset/Parkside,Parkside,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2019-09-19T00:00:00.000,2019-11-01T00:00:00.000,,,2019-11-01T00:00:00.000,2020-07-10T00:00:00.000,Mission Economic Development Agency,,"MEDA Small Properties, LLC",Not Applicable,,,,,6,6,0,100,0,0,0,6,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,37.741959000000,-122.504328000000,"{'latitude': '37.741959', 'longitude': '-122.504328', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2008-007,(5) First Construction Document Issued,2800 Sloat Boulevard,2800,Sloat,Blvd,94116,2515,"004, 005",4,Sunset/Parkside,Parkside,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2014-12-30T00:00:00.000,2015-10-05T00:00:00.000,2015-10-05T00:00:00.000,2020-07-29T00:00:00.000,Ocean Park Development,,,2005.1066,{'url': 'http://propertymap.sfplanning.org/?search=2005.1066'},"2005.1066C,2005.1066E,2005.1066E_3,2005.1066K,2005.1066P",2008-11-13T00:00:00.000,On-site BMR Project,56,7,49,13.00,0,0,2,5,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,37.735853773000,-122.504737331999,"{'latitude': '37.735853773', 'longitude': '-122.504737331999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-031,(5) First Construction Document Issued,369 3rd Ave,369,3rd,Ave,94118,1435,047,1,Inner Richmond,Inner Richmond,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2019-11-01T00:00:00.000,2020-02-01T00:00:00.000,,,2020-02-01T00:00:00.000,2021-01-15T00:00:00.000,Mission Economic Development Agency,,"MEDA Small Properties, LLC",2020-004865PRL,{'url': 'http://propertymap.sfplanning.org/?search=2020-004865PRL'},,,,12,12,0,100,0,0,0,0,0,0,0,0,0,,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,37.781700000000,-122.461400000000,"{'latitude': '37.7817', 'longitude': '-122.4614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-031,(4) Site Work Permit Issued,2918 Mission,2918,Mission,St,94110,6529,002,9,Mission,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,2023-07-01T00:00:00.000,2018-11-13T00:00:00.000,,2019-05-14T00:00:00.000,2021-07-07T00:00:00.000,"RRTI, Inc.",,,2014.0376,{'url': 'http://propertymap.sfplanning.org/?search=2014.0376'},"2014.0376CUA,2014.0376ENV,2014.0376LLA,2014.0376TDM,2014.0376U,2014.0376VAR",2018-11-09T00:00:00.000,On-site BMR Project,75,8,67,11.00,0,2,4,2,0,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,37.750174979000,-122.418561819999,"{'latitude': '37.750174979', 'longitude': '-122.418561819999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-052a,(2) Predevelopment Feasibility,SFHA Scattered Sites - Noriega,4101,Noriega,St,94122,2085,1,4,Sunset/Parkside,Outer Sunset,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,2021-10-01T00:00:00.000,,,2021-10-01T00:00:00.000,2023-01-15T00:00:00.000,Mission Housing Development Corporation,,San Francisco Housing Authority until transfer to MHDC affiliated L.P.,Not Applicable,,,,,8,8,0,100,0,0,0,3,3,2,0,0,0,,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,37.752840000000,-122.507540000000,"{'latitude': '37.75284', 'longitude': '-122.50754', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2014-001,(6) Complete,534 Natoma,534-536,Natoma,St,94103,3590,033,6,South of Market,South of Market,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2013-01-31T00:00:00.000,2017-07-01T00:00:00.000,2016-05-06T00:00:00.000,2018-09-11T00:00:00.000,2018-09-11T00:00:00.000,2020-06-05T00:00:00.000,San Francisco Community Land Trust,,San Francisco Community Land Trust,2015-001595PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-001595PRJ'},2015-001595VAR,,,5,5,0,100,0,0,4,1,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,37.779637703000,-122.408644060999,"{'latitude': '37.779637703', 'longitude': '-122.408644060999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-023,(5) First Construction Document Issued,2976 23rd St (Merry-Go-Round House),2976,23rd,St,94110,4148,035,9,Mission,Mission,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2014-05-28T00:00:00.000,2020-09-28T00:00:00.000,,,2020-09-28T00:00:00.000,2021-03-01T00:00:00.000,San Francisco Community Land Trust,,San Francisco Community Land Trust,2020-000049PRL,{'url': 'http://propertymap.sfplanning.org/?search=2020-000049PRL'},,,,14,14,0,100,0,0,0,0,0,0,0,0,0,,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,37.754420562000,-122.411738042999,"{'latitude': '37.754420562', 'longitude': '-122.411738042999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-033,(5) First Construction Document Issued,Sunnydale - Block 6,242,Hahn,St,94134,6312,010,10,Visitacion Valley,Visitacion Valley,MOHCD,HOPE SF,0,New Construction,Rental,,2019-12-01T00:00:00.000,2019-02-15T00:00:00.000,2019-11-25T00:00:00.000,2019-11-25T00:00:00.000,2021-12-01T00:00:00.000,Mercy Housing California,Related California,"Sunnydale Block 6 Housing Partnership, LP",2010.0305,{'url': 'http://propertymap.sfplanning.org/?search=2010.0305'},,2017-03-03T00:00:00.000,,168,167,1,99.00,0,0,21,95,40,11,0,23,1,3bd,167,0,0,0,0,0,125,0,0,0,126,0,0,41,0,0,0,0,0,0,0,0,37.711091598000,-122.417376167999,"{'latitude': '37.711091598', 'longitude': '-122.417376167999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-042,(5) First Construction Document Issued,Bernal Dwellings HOPE VI,3138,Kamille,Ct,94110,6573,001,9,Bernal Heights,Bernal Heights,MOHCD,Multifamily Rental Program,0,Rehabilitation,Rental,,2019-12-15T00:00:00.000,,,2019-12-15T00:00:00.000,2021-12-15T00:00:00.000,McCormack Baron Salazar,San Francisco Housing Development Corporation,"Bernal Homes, L.P.",Not Applicable,,,,,160,159,1,99.00,0,0,3,84,70,2,0,16,1,2bd,159,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,37.748848071000,-122.412618992999,"{'latitude': '37.748848071', 'longitude': '-122.412618992999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-029,(1) Preliminary Phase,1939 Market St,1939,Market,St,94103,3501,"006, 007",8,Mission,Mission,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,,Developer not yet selected,,,Not Yet Available,,,,,60,59,1,98.00,0,0,0,0,0,0,0,0,1,,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,37.769950000000,-122.425330000000,"{'latitude': '37.76995', 'longitude': '-122.42533', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-004,(6) Complete,344-348 Precita,344-348,Precita,Ave,94110,5524,001,9,Bernal Heights,Bernal Heights,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2016-03-16T00:00:00.000,2020-01-09T00:00:00.000,,,2020-01-09T00:00:00.000,2020-06-30T00:00:00.000,Mission Economic Development Agency,,"MEDA Precita Small Properties, LLC",2018-009999PRL,{'url': 'http://propertymap.sfplanning.org/?search=2018-009999PRL'},,,,3,3,0,100,0,1,1,1,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,37.746649676000,-122.412687553999,"{'latitude': '37.746649676', 'longitude': '-122.412687553999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1989-003,(6) Complete,Abel Gonzales Apartments,1045,Capp,St,94110,6527,046,9,Mission,Mission,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,2019-08-01T00:00:00.000,,,2019-08-01T00:00:00.000,2020-10-31T00:00:00.000,Mission Housing Development Corporation,,Mission Housing Development Corporation,Not Yet Available,,,,,30,30,0,100,0,9,21,0,0,0,0,0,1,1bd,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,37.750012299000,-122.416827188999,"{'latitude': '37.750012299', 'longitude': '-122.416827188999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-051,(4) Site Work Permit Issued,4101 3rd St,4101,3rd,St,94124,5260,001,10,Bayview Hunters Point,Bayview,OCII,Inclusionary Housing Program,0,New Construction,Rental,,,2020-06-30T00:00:00.000,,2020-12-29T00:00:00.000,2023-02-22T00:00:00.000,Jack Tseng,,,Not applicable,,,2018-08-07T00:00:00.000,On-site BMR Project,32,5,27,16.00,0,0,2,3,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,37.739840000000,-122.388650000000,"{'latitude': '37.73984', 'longitude': '-122.38865', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-047,(3) Design with Entitlements Approved,"Block 48, Phase 2 (Blocks M, N1, N2, O, P)",869,La Salle,Ave,94124,4591D,005,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,,2021-04-01T00:00:00.000,,,2021-04-01T00:00:00.000,2022-09-23T00:00:00.000,Lennar,,,Not Applicable,,,2015-03-03T00:00:00.000,,87,11,76,13.00,0,0,3,7,0,0,0,0,0,,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,37.728202213000,-122.375161403999,"{'latitude': '37.728202213', 'longitude': '-122.375161403999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-024,(5) First Construction Document Issued,Bernal Gateway Apartments,3101,Mission,St,94110,5501,079,9,Bernal Heights,Bernal Heights,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,2019-12-15T00:00:00.000,,,2019-12-15T00:00:00.000,2021-06-01T00:00:00.000,Bernal Heights Neighborhood Center,,Bernal Heights Neighborhood Center,Not Applicable,,,,,55,54,1,98.00,0,0,9,29,12,4,0,0,1,3bd,54,0,0,0,0,0,0,15,16,0,0,0,23,0,0,0,0,0,0,0,0,0,37.747693542000,-122.417785291999,"{'latitude': '37.747693542', 'longitude': '-122.417785291999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-027,(2) Predevelopment Feasibility,2550 Irving,2550,Irving,St,94122,1724,038,4,Sunset/Parkside,Outer Sunset,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,,Tenderloin Neighborhood Development Corporation,,,Not Yet Available,,,,,100,99,1,99.00,0,0,0,0,0,0,0,0,0,,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,37.763270000000,-122.485170000000,"{'latitude': '37.76327', 'longitude': '-122.48517', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
